Date,Gold_Price,Crude_Oil,Inflation,Interest_Rate,USD_EUR,USD_JPY,SLV,^GSPC
2023-06-12,181.8800048828125,74.84,304.099,5.08,1.0747,139.72,22.079999923706055,4338.93017578125
2023-06-13,180.5399932861328,74.84,304.099,5.08,1.0792,140.0,21.739999771118164,4369.009765625
2023-06-14,180.63999938964844,74.84,304.099,5.08,1.0859,139.33,21.969999313354492,4372.58984375
2023-06-15,181.91000366210935,74.84,304.099,5.08,1.0933,140.49,21.940000534057617,4425.83984375
2023-06-16,181.6300048828125,74.84,304.099,5.08,1.0925,141.82,22.18000030517578,4409.58984375
2023-06-20,179.75,74.84,304.099,5.08,1.09,141.46,21.260000228881836,4388.7099609375
2023-06-21,179.49000549316406,74.84,304.099,5.08,1.0951,142.09,20.84000015258789,4365.68994140625
2023-06-22,177.7100067138672,74.84,304.099,5.08,1.0953,142.89,20.530000686645508,4381.89013671875
2023-06-23,178.1999969482422,74.84,304.099,5.08,1.0887,143.78,20.579999923706055,4348.330078125
2023-06-26,178.50999450683594,74.84,304.099,5.08,1.091,143.55,20.899999618530273,4328.81982421875
2023-06-27,177.69000244140625,74.84,304.099,5.08,1.0961,144.0,20.979999542236328,4378.41015625
2023-06-28,177.27999877929688,74.84,304.099,5.08,1.0904,144.23,20.84000015258789,4376.85986328125
2023-06-29,177.08999633789062,74.84,304.099,5.08,1.0881,144.72,20.719999313354492,4396.43994140625
2023-06-30,178.27000427246094,74.84,304.099,5.08,1.092,144.47,20.889999389648438,4450.3798828125
2023-07-03,178.47000122070312,80.11,304.615,5.12,1.0919,144.5,21.010000228881836,4455.58984375
2023-07-05,177.83999633789062,80.11,304.615,5.12,1.0868,144.56,21.209999084472656,4446.81982421875
2023-07-06,177.30999755859375,80.11,304.615,5.12,1.0873,144.09,20.829999923706055,4411.58984375
2023-07-07,178.63999938964844,80.11,304.615,5.12,1.0964,142.21,21.18000030517578,4398.9501953125
2023-07-10,178.77999877929688,80.11,304.615,5.12,1.0991,141.56,21.239999771118164,4409.52978515625
2023-07-11,179.4499969482422,80.11,304.615,5.12,1.0992,140.51,21.200000762939453,4439.259765625
2023-07-12,181.8800048828125,80.11,304.615,5.12,1.1123,138.21,22.149999618530273,4472.16015625
2023-07-13,182.00999450683597,80.11,304.615,5.12,1.1194,138.14,22.780000686645508,4510.0400390625
2023-07-14,181.42999267578125,80.11,304.615,5.12,1.1237,138.74,22.860000610351562,4505.419921875
2023-07-17,181.55999755859372,80.11,304.615,5.12,1.1236,138.92,22.790000915527344,4522.7900390625
2023-07-18,183.63999938964844,80.11,304.615,5.12,1.1223,138.94,22.989999771118164,4554.97998046875
2023-07-19,183.6699981689453,80.11,304.615,5.12,1.1195,139.76,23.100000381469727,4565.72021484375
2023-07-20,182.7400054931641,80.11,304.615,5.12,1.1135,140.39,22.68000030517578,4534.8701171875
2023-07-21,182.17999267578125,80.11,304.615,5.12,1.112,141.75,22.56999969482422,4536.33984375
2023-07-24,181.3999938964844,80.11,304.615,5.12,1.1083,141.19,22.329999923706055,4554.64013671875
2023-07-25,182.41000366210935,80.11,304.615,5.12,1.105,140.91,22.6200008392334,4567.4599609375
2023-07-26,183.3000030517578,80.11,304.615,5.12,1.1078,140.41,22.90999984741211,4566.75
2023-07-27,180.4199981689453,80.11,304.615,5.12,1.0998,141.03,22.110000610351562,4537.41015625
2023-07-28,181.8600006103516,80.11,304.615,5.12,1.1039,140.72,22.31999969482422,4582.22998046875
2023-07-31,182.3500061035156,80.11,304.615,5.12,1.102,142.18,22.690000534057617,4588.9599609375
2023-08-01,180.4600067138672,86.15,306.138,5.33,1.0971,143.34,22.290000915527344,4576.72998046875
2023-08-02,179.60000610351562,86.15,306.138,5.33,1.0939,143.21,21.75,4513.39013671875
